Location,Property," - Employee Number"," - Bags of Salt Used? "," - Bags of Calcium Used? "," - How many Guys Servicing Property?"," - Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 16 - Carol Stream West","Fresh Markets",813,6,1,3,9,"01/10/2016 01:37 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","189 Easy",813,3,0,2,4,"01/10/2016 01:36 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center",813,9,2,3,10,"01/10/2016 01:35 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","138-158 Alexandra Way",813,4,0,2,6,"01/10/2016 01:34 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","235 Tubeway",813,5,0,3,7,"01/10/2016 01:33 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","365 North Ave",813,5,0,3,6,"01/10/2016 01:32 PM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","225 Westgate",813,4,0,3,6,"01/10/2016 01:31 PM","SnowPlus Staff","Leo Vargas"
"Sec 15 - Carol Stream East","221 Covington",813,2,0,2,1,"01/10/2016 01:15 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","90 West Lake",813,2,0,2,3,"01/10/2016 01:14 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","417 Village",813,3,0,2,3,"01/10/2016 01:13 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","545 Fullerton",813,4,0,2,5,"01/10/2016 01:11 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","437 Tower",813,10,0,3,10,"01/10/2016 01:11 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","230 Lies",813,4,0,2,4,"01/10/2016 01:09 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","810 Kimberly",813,6,0,3,6,"01/10/2016 01:08 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","900 Kimberly",813,5,0,2,5,"01/10/2016 01:07 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","376 Lies",813,6,0,3,7,"01/10/2016 01:06 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","125 Army Trail",813,4,0,2,3,"01/10/2016 12:59 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","175 Wall St",813,3,0,2,3,"01/10/2016 12:58 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","355 Long View",813,4,0,2,5,"01/10/2016 12:57 PM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","700 Kimberly",813,4,0,2,3,"01/10/2016 12:56 PM","SnowPlus Staff","Cody Moutvic"
"Sec 04 - Aurora West / Batavia","2401 Kaneville Rd",813,10,0,2,8,"01/10/2016 12:37 PM","SnowPlus Staff",
"Sec 04 - Aurora West / Batavia","Art Van - Batavia",813,5,0,2,5,"01/10/2016 12:37 PM","SnowPlus Staff",
"Sec 04 - Aurora West / Batavia","Art Van - Batavia",813,4,0,2,5,"01/10/2016 12:36 PM","SnowPlus Staff",
"Sec 22 - Elgin","2700 Alft",813,5,0,2,4,"01/10/2016 12:31 PM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin",Chase,813,70,0,11,110,"01/10/2016 12:30 PM","SnowPlus Staff","Freddy Martin"
"Sec 22 - Elgin","901 Weseman",813,4,0,3,5,"01/10/2016 11:45 AM","SnowPlus Staff","Freddy Martin"
