Location,Property," - Employee Number"," - Bags of Salt Used? "," - Bags of Calcium Used? "," - How many Guys Servicing Property?"," - Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 26 - Itasca","1376 Industrial",813,1,0,1,1,"02/25/2016 10:47 AM","SnowPlus Staff","Don Down"
"Sec 26 - Itasca","225 Windsor",813,2,0,1,2,"02/25/2016 10:46 AM","SnowPlus Staff","Don Down"
"Sec 26 - Itasca",Canon,813,1,0,1,1,"02/25/2016 10:46 AM","SnowPlus Staff","Don Down"
"Sec 26 - Itasca","690 Hilltop",813,2,0,1,2,"02/25/2016 10:45 AM","SnowPlus Staff","Don Down"
"Sec 26 - Itasca","909 Irving Park",813,1,0,1,1,"02/25/2016 10:43 AM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","1141 Ellis",813,2,0,1,2,"02/25/2016 10:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen",813,3,0,1,3,"02/25/2016 10:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","855 Woodale",813,1,0,1,1,"02/25/2016 10:35 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","311 Richert",813,2,0,1,2,"02/25/2016 10:34 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","571-599 Edgewood",813,1,0,1,1,"02/25/2016 10:33 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1010 Foster",813,2,0,1,2,"02/25/2016 10:32 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",813,2,0,1,2,"02/25/2016 10:30 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","975-1001 Bryn Mawr",813,1,0,1,1,"02/25/2016 10:30 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","877 Supreme",813,1,0,1,1,"02/25/2016 10:29 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","860-888 Thomas",813,1,0,1,1,"02/25/2016 10:28 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","560-590 Supreme",813,1,0,1,1,"02/25/2016 10:27 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)",813,3,0,1,3,"02/25/2016 10:26 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","630-650 Supreme",813,1,0,1,1,"02/25/2016 10:25 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","595-601 Supreme",813,2,0,1,2,"02/25/2016 10:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","645-651 Supreme",813,2,0,1,2,"02/25/2016 10:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","659-699 Supreme",8130,1,0,1,1,"02/25/2016 10:22 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","971-991 Supreme",813,1,0,1,1,"02/25/2016 10:21 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","950-990 Supreme",813,1,0,1,1,"02/25/2016 10:21 AM","SnowPlus Staff","Ernie Vargas"
"Sec 16 - Carol Stream West","Fresh Markets",813,4,0,2,6,"02/25/2016 10:16 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","189 Easy",813,1,0,1,1,"02/25/2016 10:14 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center",813,4,0,2,6,"02/25/2016 10:14 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","138-158 Alexandra Way",813,1,0,1,1,"02/25/2016 10:13 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","235 Tubeway",813,2,0,1,2,"02/25/2016 10:12 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","365 North Ave",813,1,0,1,2,"02/25/2016 10:11 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","225 Westgate",813,2,0,2,2,"02/25/2016 10:11 AM","SnowPlus Staff","Leo Vargas"
